id,authors,year,title,themes,question,sample,design,measures,results,inference,competing_explanations,classroom_use,coverage,url
cohen1990-absorptive-capacity,Wesley M. Cohen; Daniel A. Levinthal,1990,Absorptive Capacity: A New Perspective on Learning and Innovation,Antecedents; KBV; Capabilities; Empirical,Why does prior related knowledge affect a firm’s ability to benefit from external technological information?,"1,719 business units from 318 firms in 151 lines of business.",Cross-sectional linkage of R&D-manager technological-opportunity surveys with FTC Line of Business data.,"Business-unit R&D intensity, industry knowledge sources, appropriability and technological opportunity.",Patterns of R&D investment were consistent with an absorptive role for internal research.,Indirect empirical assessment of a learning mechanism; not direct causal estimation of absorptive capacity.,"Unobserved innovative opportunity, coarse industry knowledge measures and endogenous R&D investment.",Use to explain why equally available information produces unequal learning and to distinguish access from assimilation.,Conceptual opening; organizational absorption discussion; Data and Measures pp. 142–143; empirical framework and discussion.,https://doi.org/10.2307/2393553
epple1991-learning-curves,Dennis Epple; Linda Argote; Rukmini Devadas,1991,Organizational Learning Curves: A Method for Investigating Intra-Plant Transfer of Knowledge Acquired Through Learning by Doing,KBV; Capabilities; Empirical,"Is production knowledge fully embodied in equipment, or does some of it remain associated with people and organizational experience?",Production observations from an automobile assembly plant before and after addition of a second shift.,"Generalized learning-curve estimation with tests of complete carryover, cross-shift transfer and retention restrictions.","Output, labor and production inputs, accumulated experience, shift-specific and shared knowledge parameters.","Complete transfer was rejected; substantial knowledge carried over, with incomplete later cross-shift transfer.",A discriminating observational test against complete technological embodiment.,"Model misspecification, workforce differences and contemporaneous production changes.","Use as a concrete test of where organizational knowledge resides, with a clear prediction that could be rejected.",Abstract p. 58; intra-plant knowledge-transfer model; estimation and discussion pp. 65–70.,https://doi.org/10.1287/orsc.2.1.58
leonardbarton1992-core-rigidities,Dorothy Leonard-Barton,1992,Core Capabilities and Core Rigidities: A Paradox in Managing New Product Development,Capabilities; KBV; Critiques; Empirical,How can the same core capability support successful development and obstruct a project requiring new knowledge?,"Twenty product/process projects across Ford, Chaparral Steel, Hewlett-Packard and two anonymous firms.","Comparative qualitative cases; cross-team analysis, interviews, site visits and member checks.",Four capability dimensions and their alignment with project requirements.,The same interdependent knowledge system both enables projects and constrains unfamiliar requirements.,Inductive mechanism inference; not a universal causal performance relationship.,"Project differences, retrospective accounts, company participation and mixed definitions of project success.",Use to explain the mechanism behind capability rigidity before presenting later statistical evidence on adaptation and innovation.,"Selected source excerpts: PDF pp. 3–4, framework and project sample; PDF pp. 6–7 and 10–11, selected project evidence; PDF pp. 14 and 16, conclusion and methodology appendix. Tables and other sections not fully reviewed.",https://josephmahoney.web.illinois.edu/BADM504_Fall%202019/Leonard-Barton%20%281992%29.pdf
henderson1994-measuring-competence,Rebecca Henderson; Iain Cockburn,1994,Measuring Competence? Exploring Firm Effects in Pharmaceutical Research,RBV; KBV; Capabilities; Empirical,"Can measured organizational competences explain research productivity beyond firm size, portfolio composition and unexplained firm effects?",Ten major European and U.S. pharmaceutical firms; research-program analysis focused on 1975–1988.,Program-level patent-output models combined with qualitative organizational histories.,"Research investment, prior patents, portfolio scope, publication incentives and resource-allocation structure.",Some architectural practices and prior success associate with output; portfolio and firm effects complicate interpretation.,"Associations consistent with competence, explicitly not a convincing separation from all unobserved heterogeneity.","Scientist quality, scientific opportunities, patent propensity, agency problems and research-portfolio composition.","Use as a canonical attempt to open the firm-effect black box, with its own measurement cautions retained.","Selected source excerpts: PDF pp. 8–9 (printed pp. 69–70), data; PDF pp. 16–18 (printed pp. 77–79), results and conclusions. Tables and other sections not fully reviewed.",https://josephmahoney.web.illinois.edu/BA545_Fall%202013/Henderson%20and%20Cockburn%20%281994%29.pdf
zander1995-transfer-imitation,Udo Zander; Bruce Kogut,1995,Knowledge and the Speed of the Transfer and Imitation of Organizational Capabilities: An Empirical Test,KBV; Capabilities; Empirical,Do the knowledge characteristics that facilitate internal replication also make a capability easier for competitors to imitate?,35 major Swedish innovations analyzed; the questionnaire initially targeted 44 innovations associated with 20 firms.,Observational analysis of time to capability transfer and product imitation.,"Codifiability, teachability, complexity, employee turnover, continuing development and transfer/imitation timing.",Knowledge codification and teachability accelerated transfer; imitation effects were qualified and influenced by mobility and continued development.,Evidence links knowledge attributes to transfer hazards without experimentally assigning those attributes.,"Recall error, selected successful innovations, product/manufacturing outcome mismatch and omitted protection mechanisms.","Use to make causal ambiguity and transferability concrete, and to test the simple proposition that anything transferable internally must be equally easy to imitate externally.",Abstract pp. 76–77; sample pp. 80–81; transfer/imitation results and field illustrations.,https://doi.org/10.1287/orsc.6.1.76
miller1996-two-environments,Danny Miller; Jamal Shamsie,1996,The Resource-Based View of the Firm in Two Environments: The Hollywood Film Studios from 1936 to 1965,RBV; Capabilities; Bridge; Empirical,When do property-based resources and knowledge-based resources contribute to performance under different environmental conditions?,"Seven major Hollywood studios, 1936–1965; RKO excluded because it ceased operations before the end.",Historical autoregressive/heteroscedastic regressions separated by era.,"Star contracts, theater control, Academy Awards and prior production costs; ROS, profits and share.",Property-based resources stronger in stable era; knowledge-based indicators stronger in uncertain era.,"Historical conditional association, not an isolated causal effect of uncertainty.","Other era changes, survival selection, legal change and imperfect archival proxies.",Use as the central empirical illustration that valuable resources must be specified relative to environmental conditions.,"Selected source excerpts: PDF pp. 11–12 and 14 (printed pp. 528–529 and 531), sample and variables; PDF p. 20 (printed p. 537), Tables 4–5; PDF pp. 22–23, discussion. Tables and other sections not fully reviewed.",https://josephmahoney.web.illinois.edu/BA549_Fall%202010/Session%206/Miller_Shamsie%20%281996%29.pdf
szulanski1996-internal-stickiness,Gabriel Szulanski,1996,Exploring Internal Stickiness: Impediments to the Transfer of Best Practice Within the Firm,KBV; Capabilities; Empirical,Why are superior practices difficult to transfer between units that belong to the same firm?,271 questionnaires concerning 122 transfers of 38 practices across eight companies.,"Two-stage survey with source, recipient and third-party reports; canonical correlation analysis.","Transfer stickiness by stage; absorptive capacity, causal ambiguity, relational difficulty and motivational barriers.","Largest reported barriers were recipient absorption, causal ambiguity and arduous relationships.",Associational comparison of barriers; canonical weights do not yield randomized causal effects.,"Selected transfer histories, respondent recall, measurement overlap and unstable smaller-sample estimates.","Use as core empirical evidence that internal replication remains costly, and as a bridge between sustained advantage and the difficulty of scaling it.",Abstract/introduction pp. 27–28; transfer stages; Method and sample; Discussion pp. 36–38.,https://doi.org/10.1002/smj.4250171105
dyer1996-specialized-suppliers,Jeffrey H. Dyer,1996,SPECIALIZED SUPPLIER NETWORKS AS A SOURCE OF COMPETITIVE ADVANTAGE: EVIDENCE FROM THE AUTO INDUSTRY,RBV; Bridge; Influence; Empirical,"Can specialized relationships between separate firms create competitive advantage, and which partners capture the resulting gains?",Two Japanese and three U.S. automakers plus selected partner and arm’s-length suppliers.,"Comparative surveys/interviews, descriptive network plots, selected regressions and rank correlations.","Plant proximity; nonredeployable assets; face-to-face contact; quality, inventory, development cycle and ROA.",Some specificity dimensions associate with better network performance; physical specificity–quality prediction is unsupported.,Suggestive observational comparisons; five-producer outcomes do not support strong causal claims.,"National institutions, trust, selection of supplier ties, product quality and bargaining/appropriation.","Use to connect value creation through specialization with appropriation and governance, while showing the limits of small-network comparisons.",Selected source excerpts: Sample and data collection; Performance measures and Data analysis; Performance discussion; Conclusion boundary conditions. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199604)17:4<271::aid-smj807>3.0.co;2-y
argyres1996-divisionalization,Nicholas Argyres,1996,"CAPABILITIES, TECHNOLOGICAL DIVERSIFICATION AND DIVISIONALIZATION",Bridge; Capabilities; KBV; Empirical,How is technological diversification related to the internal division structure of a multidivisional firm?,106 large U.S. multidivisional firms; 1975 structure and 1974–1981 patent information.,Cross-sectional OLS models with sector and diversification controls.,Patent technological diversity; divisions/subsidiaries relative to revenues; sector and strategic diversification.,"Negative diversity–divisionalization association, conditioned by sector’s technological progressiveness.",Associational organization–strategy fit; causal direction is explicitly ambiguous.,"Simultaneity, patenting propensities, size scaling and unobserved internal decision rights.",Use as a bridge from knowledge complementarities to internal organizational design and the limits of highly autonomous divisions.,Selected source excerpts: Empirical methods and measure discussion; Sample/models; results narrative preceding Conclusion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199605)17:5<395::aid-smj826>3.0.co;2-e
maijoor1996-strategic-regulation,Steven Maijoor; Arjen Van Witteloostuijn,1996,AN EMPIRICAL TEST OF THE RESOURCE-BASED THEORY: STRATEGIC REGULATION IN THE DUTCH AUDIT INDUSTRY,RBV; Bridge; Empirical,How can regulation make professional human capital valuable and protect the rents attached to it?,Dutch audit profession in the postwar period; membership histories and selected income years.,Historical longitudinal industry analysis; comparisons of regulatory and nonregulatory periods.,"Disclosed accounts, qualified employees and partners, concentration, promotions and professional income.",Regulation enlarges demand; professional and partnership constraints help protect scarce positions.,Historical and statistical association; no isolated regulatory treatment estimate.,"Secular demand growth, technology/productivity changes and limited income data.","Use to ask where valuable, scarce resources come from and how institutional rules protect or distribute their returns.",Selected source excerpts: Evidence: Hypotheses 1 and 2; Conjectures 1–2 on rent appropriation. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199607)17:7<549::aid-smj827>3.0.co;2-r
